Sr. No.,Player,Teams,Base Price,Winning Bids,Capped / Uncapped
76,Avesh Khan,Lucknow Super Giants,"2,00,00,000","9,75,00,000",Capped
77,Akash Deep,Lucknow Super Giants,"1,00,00,000","8,00,00,000",Capped
78,David Miller ,Lucknow Super Giants,"1,50,00,000","7,50,00,000",Capped
79,Abdul Samad,Lucknow Super Giants,"30,00,000","4,20,00,000",Uncapped
80,Mitchell Marsh ,Lucknow Super Giants,"2,00,00,000","3,40,00,000",Capped
81,Shahbaz Ahamad,Lucknow Super Giants,"1,00,00,000","2,40,00,000",Capped
82,Aiden Markram ,Lucknow Super Giants,"2,00,00,000","2,00,00,000",Capped
83,Matthew Breetzke ,Lucknow Super Giants,"75,00,000","75,00,000",Capped
84,Shamar Joseph ,Lucknow Super Giants,"75,00,000","75,00,000",Capped
85,M. Siddharth,Lucknow Super Giants,"30,00,000","75,00,000",Uncapped
86,Arshin Kulkarni,Lucknow Super Giants,"30,00,000","30,00,000",Uncapped
87,Rajvardhan Hangargekar,Lucknow Super Giants,"30,00,000","30,00,000",Uncapped
88,Yuvraj Chaudhary,Lucknow Super Giants,"30,00,000","30,00,000",Uncapped
89,Prince Yadav,Lucknow Super Giants,"30,00,000","30,00,000",Uncapped
90,Akash Singh,Lucknow Super Giants,"30,00,000","30,00,000",Uncapped
91,Digvesh Singh,Lucknow Super Giants,"30,00,000","30,00,000",Uncapped
92,Himmat Singh,Lucknow Super Giants,"30,00,000","30,00,000",Uncapped
93,Aryan Juyal,Lucknow Super Giants,"30,00,000","30,00,000",Uncapped
94,Trent Boult ,Mumbai Indians,"2,00,00,000","12,50,00,000",Capped
95,Deepak Chahar,Mumbai Indians,"2,00,00,000","9,25,00,000",Capped
96,Will Jacks ,Mumbai Indians,"2,00,00,000","5,25,00,000",Capped
97,Naman Dhir,Mumbai Indians,"30,00,000","5,25,00,000",Uncapped
98,Allah Ghazanfar ,Mumbai Indians,"75,00,000","4,80,00,000",Capped
99,Mitchell Santner ,Mumbai Indians,"2,00,00,000","2,00,00,000",Capped
100,Ryan Rickelton ,Mumbai Indians,"1,00,00,000","1,00,00,000",Capped
101,Lizaad Williams ,Mumbai Indians,"75,00,000","75,00,000",Capped
102,Reece Topley ,Mumbai Indians,"75,00,000","75,00,000",Capped
103,Robin Minz,Mumbai Indians,"30,00,000","65,00,000",Uncapped
104,Karn Sharma,Mumbai Indians,"50,00,000","50,00,000",Uncapped
105,Vignesh Puthur,Mumbai Indians,"30,00,000","30,00,000",Uncapped
106,Arjun Tendulkar,Mumbai Indians,"30,00,000","30,00,000",Uncapped
107,Bevan John Jacobs ,Mumbai Indians,"30,00,000","30,00,000",Uncapped
108,Venkata Satyanarayana Penmetsa,Mumbai Indians,"30,00,000","30,00,000",Uncapped
109,Raj Angad Bawa,Mumbai Indians,"30,00,000","30,00,000",Uncapped
110,Shrijith Krishnan,Mumbai Indians,"30,00,000","30,00,000",Uncapped
111,Ashwani Kumar,Mumbai Indians,"30,00,000","30,00,000",Uncapped
112,Shreyas Iyer,Punjab Kings,"2,00,00,000","26,75,00,000",Capped
113,Yuzvendra Chahal,Punjab Kings,"2,00,00,000","18,00,00,000",Capped
114,Arshdeep Singh,Punjab Kings,"2,00,00,000","18,00,00,000",Capped
115,Marcus Stoinis ,Punjab Kings,"2,00,00,000","11,00,00,000",Capped
116,Marco Jansen ,Punjab Kings,"1,25,00,000","7,00,00,000",Capped
117,Nehal Wadhera,Punjab Kings,"30,00,000","4,20,00,000",Uncapped
118,Glenn Maxwell ,Punjab Kings,"2,00,00,000","4,20,00,000",Capped
119,Priyansh Arya,Punjab Kings,"30,00,000","3,80,00,000",Uncapped
120,Josh Inglis ,Punjab Kings,"2,00,00,000","2,60,00,000",Capped
121,Azmatullah Omarzai ,Punjab Kings,"1,50,00,000","2,40,00,000",Capped
122,Lockie Ferguson ,Punjab Kings,"2,00,00,000","2,00,00,000",Capped
123,Vyshak Vijaykumar,Punjab Kings,"30,00,000","1,80,00,000",Uncapped
124,Yash Thakur,Punjab Kings,"30,00,000","1,60,00,000",Uncapped
125,Harpreet Brar,Punjab Kings,"30,00,000","1,50,00,000",Uncapped
126,Aaron Hardie ,Punjab Kings,"1,25,00,000","1,25,00,000",Capped
127,Vishnu Vinod,Punjab Kings,"30,00,000","95,00,000",Uncapped
128,Xavier Bartlett ,Punjab Kings,"75,00,000","80,00,000",Capped
129,Kuldeep Sen,Punjab Kings,"75,00,000","80,00,000",Capped
130,Pravin Dubey,Punjab Kings,"30,00,000","30,00,000",Uncapped
131,Pyla Avinash,Punjab Kings,"30,00,000","30,00,000",Uncapped
132,Suryansh Shedge,Punjab Kings,"30,00,000","30,00,000",Uncapped
133,Musheer Khan,Punjab Kings,"30,00,000","30,00,000",Uncapped
134,Harnoor Pannu,Punjab Kings,"30,00,000","30,00,000",Uncapped
135,Jofra Archer ,Rajasthan Royals,"2,00,00,000","12,50,00,000",Capped
136,Tushar Deshpande,Rajasthan Royals,"1,00,00,000","6,50,00,000",Capped
137,Wanindu Hasaranga ,Rajasthan Royals,"2,00,00,000","5,25,00,000",Capped
138,Maheesh Theekshana ,Rajasthan Royals,"2,00,00,000","4,40,00,000",Capped
139,Nitish Rana,Rajasthan Royals,"1,50,00,000","4,20,00,000",Capped
140,Fazalhaq Farooqi ,Rajasthan Royals,"2,00,00,000","2,00,00,000",Capped
141,Kwena Maphaka ,Rajasthan Royals,"75,00,000","1,50,00,000",Capped
142,Akash Madhwal,Rajasthan Royals,"30,00,000","1,20,00,000",Uncapped
143,Vaibhav Suryavanshi,Rajasthan Royals,"30,00,000","1,10,00,000",Uncapped
144,Shubham Dubey,Rajasthan Royals,"30,00,000","80,00,000",Uncapped
145,Yudhvir Charak,Rajasthan Royals,"30,00,000","35,00,000",Uncapped
146,Ashok Sharma,Rajasthan Royals,"30,00,000","30,00,000",Uncapped
147,Kunal Rathore,Rajasthan Royals,"30,00,000","30,00,000",Uncapped
148,Kumar Kartikeya Singh,Rajasthan Royals,"30,00,000","30,00,000",Uncapped
149,Josh Hazlewood ,Royal Challengers Bengaluru,"2,00,00,000","12,50,00,000",Capped
150,Phil Salt ,Royal Challengers Bengaluru,"2,00,00,000","11,50,00,000",Capped
151,Jitesh Sharma,Royal Challengers Bengaluru,"1,00,00,000","11,00,00,000",Capped
152,Bhuvneshwar Kumar,Royal Challengers Bengaluru,"2,00,00,000","10,75,00,000",Capped
153,Liam Livingstone ,Royal Challengers Bengaluru,"2,00,00,000","8,75,00,000",Capped
154,Rasikh Dar,Royal Challengers Bengaluru,"30,00,000","6,00,00,000",Uncapped
155,Krunal Pandya,Royal Challengers Bengaluru,"2,00,00,000","5,75,00,000",Capped
156,Tim David ,Royal Challengers Bengaluru,"2,00,00,000","3,00,00,000",Capped
157,Jacob Bethell ,Royal Challengers Bengaluru,"1,25,00,000","2,60,00,000",Capped
158,Suyash Sharma,Royal Challengers Bengaluru,"30,00,000","2,60,00,000",Uncapped
159,Devdutt Padikkal,Royal Challengers Bengaluru,"2,00,00,000","2,00,00,000",Capped
160,Nuwan Thushara ,Royal Challengers Bengaluru,"75,00,000","1,60,00,000",Capped
161,Romario Shepherd ,Royal Challengers Bengaluru,"1,50,00,000","1,50,00,000",Capped
162,Lungisani Ngidi ,Royal Challengers Bengaluru,"1,00,00,000","1,00,00,000",Capped
163,Swapnil Singh,Royal Challengers Bengaluru,"30,00,000","50,00,000",Uncapped
164,Mohit Rathee,Royal Challengers Bengaluru,"30,00,000","30,00,000",Uncapped
165,Abhinandan Singh,Royal Challengers Bengaluru,"30,00,000","30,00,000",Uncapped
166,Swastik Chhikara,Royal Challengers Bengaluru,"30,00,000","30,00,000",Uncapped
167,Manoj Bhandage,Royal Challengers Bengaluru,"30,00,000","30,00,000",Uncapped
168,Ishan Kishan,Sunrisers Hyderabad,"2,00,00,000","11,25,00,000",Capped
169,Mohammad Shami,Sunrisers Hyderabad,"2,00,00,000","10,00,00,000",Capped
170,Harshal Patel,Sunrisers Hyderabad,"2,00,00,000","8,00,00,000",Capped
171,Abhinav Manohar,Sunrisers Hyderabad,"30,00,000","3,20,00,000",Uncapped
172,Rahul Chahar,Sunrisers Hyderabad,"1,00,00,000","3,20,00,000",Capped
173,Adam Zampa ,Sunrisers Hyderabad,"2,00,00,000","2,40,00,000",Capped
174,Simarjeet Singh,Sunrisers Hyderabad,"30,00,000","1,50,00,000",Uncapped
175,Eshan Malinga ,Sunrisers Hyderabad,"30,00,000","1,20,00,000",Uncapped
176,Brydon Carse ,Sunrisers Hyderabad,"1,00,00,000","1,00,00,000",Capped
177,Jaydev Unadkat,Sunrisers Hyderabad,"1,00,00,000","1,00,00,000",Capped
178,Kamindu Mendis ,Sunrisers Hyderabad,"75,00,000","75,00,000",Capped
179,Zeeshan Ansari,Sunrisers Hyderabad,"30,00,000","40,00,000",Uncapped
180,Sachin Baby,Sunrisers Hyderabad,"30,00,000","30,00,000",Uncapped
181,Aniket Verma,Sunrisers Hyderabad,"30,00,000","30,00,000",Uncapped
182,Atharva Taide,Sunrisers Hyderabad,"30,00,000","30,00,000",Uncapped
